message,tags,created_time,comment_attachment_type,comment_likes
The American people are tired of not being listen to the silent majority apparently is no longer silent,,2021-01-06T20:15:51+0000,,8701.0
If you believe in the safety of your people then just step away quietly...,,2021-01-06T23:43:08+0000,,8065.0
YOU GUYS LOST. GET OVER IT. 🙄 BYE 👋🏽,,2021-01-06T20:15:42+0000,,7327.0
I support President Trump.,,2021-01-06T20:32:48+0000,sticker,5848.0
It's too late Mr. President. The American people are fed up with the government and it's not your fault.  The worst you did was bring it to everyone's attention on just how corrupt our government is.  ,,2021-01-06T20:16:57+0000,,5433.0
"The people are PISSED!!!! We have watched the democrats break laws, cheat, treat criminals as the victims and victims as criminals. We have watched our rights being taken away. We have been censored by Big Tech and fed lies by the mainstream media. WE HAVE HAD ENOUGH! ",,2021-01-06T20:16:29+0000,,5737.0
Are you all seeing somthing different i do not see any fires or bussiness being destroyed.  Cars parked everywhere and no damage. Little bit of double standards u think.,,2021-01-06T20:17:38+0000,,4675.0
This is what happens when the elections are rigged and no one listens.,,2021-01-06T20:20:45+0000,,4587.0
Dude you are the direct cause of all of this.,,2021-01-06T20:15:07+0000,,1763.0
I am so disappointed in Mike Pence.,,2021-01-06T20:22:19+0000,,3535.0
"On 20th January 2021, Donald Trump will become FORMER president. Nobody can upturn the will of the people. Trump himself doesn't such power. Mike Pence has already confirmed he has no such authority. Don't let anyone fool you. This election is over.",,2021-01-07T04:44:49+0000,sticker,2706.0
"President Trump is fighting for the people and is a honorable man.  He's not the problem, he's the solution.  God Bless You Mr. President. ",,2021-01-06T20:22:51+0000,,2528.0
It’s amazing Pelosi wants national guard now but didn’t want it when all the protests “riots” were happening. ,,2021-01-06T20:16:30+0000,,4283.0
"I AGREE, BUT WE ARE TAKING OUR COUNTRY BACK! THIS IS NOT ABOUT YOU ANYMORE!!! WE HAVE HAD ENOUGH!",,2021-01-06T20:15:46+0000,,2793.0
Love you Mr President!! We stand for our FREEDOMS!!!🇺🇸100%,,2021-01-06T20:20:05+0000,,1978.0
Best president we had in years and those politicians that never worked in there life hated you because you told the truth,,2021-01-06T20:20:16+0000,,2150.0
"It’s weird how everyone is criticizing a civilian protest and forget about the BLM violence looting and destruction and black privilege that happened last year , the corrupted media tried to make BLM peaceful and now they are trying to make a peaceful Civilian protest looking like evil 🤔🤔",,2021-01-06T20:14:49+0000,,5055.0
"We've been peaceful, and waiting for this to be handled as it should be. At every turn the system has failed to work for the people. We the people are done being silenced. This is necessary and we need to be heard!!",,2021-01-06T20:21:35+0000,,2290.0
